TIPO,FECHA,DESCRIPCION,COMPRADOR_CODIGO,VENDEDOR_CODIGO
Buena, 23/06/20,"",https://www.mercadolibre.com.co/perfil/ADALGUIZABARRIOS,https://perfil.mercadolibre.com.co/AFICIONADOS+ALOSRELOJES
Buena, 18/06/20,"Buen Vendedor , muy cumplido en la entrega . Lo recomiendo",https://www.mercadolibre.com.co/perfil/ADALTO55,https://perfil.mercadolibre.com.co/AFICIONADOS+ALOSRELOJES
Buena, 12/08/20,muy rápido el envío y todo sellado y en buen estado,https://www.mercadolibre.com.co/perfil/ADAMSITO72,https://perfil.mercadolibre.com.co/TECNOPIA.CO
Buena, 17/01/20,"",https://www.mercadolibre.com.co/perfil/ADARRAGABRIAN,https://perfil.mercadolibre.com.co/TECHNOLOGYEXPRESSMS
Regular, 18/08/20,"Buena atencion pero con mucha dificultad, demora y contratiempo para el envio y entrega del Celular",https://www.mercadolibre.com.co/perfil/ADAVA.00,https://perfil.mercadolibre.com.co/TECHNOLOGYRIVER
Buena, 30/06/20,"",https://www.mercadolibre.com.co/perfil/ADAYADITH,https://perfil.mercadolibre.com.co/JAG+COLOMBIA
Buena, 12/07/20,muy amable y llego a tiempo,https://www.mercadolibre.com.co/perfil/ADDISTUDIO,https://perfil.mercadolibre.com.co/POWERSATCOLTDA
Buena, 16/06/18,"",https://www.mercadolibre.com.co/perfil/ADECO.ANA,https://perfil.mercadolibre.com.co/TECNOSERVICJYL
Buena, 26/06/20,"",https://www.mercadolibre.com.co/perfil/ADED8390048,https://perfil.mercadolibre.com.co/LALIBRERIA+TECHNOLOGIESTRADE
Buena, 17/08/18,Muy amable y diligente. Recomendado,https://www.mercadolibre.com.co/perfil/ADELAMACASMOLINA,https://perfil.mercadolibre.com.co/MOKA8853040
Buena, 21/08/20,"",https://www.mercadolibre.com.co/perfil/ADELIARIVEROS,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA
Buena, 01/09/20,responsable y amable,https://www.mercadolibre.com.co/perfil/ADELMOPAREDES,https://perfil.mercadolibre.com.co/PINTOJOVIER
Buena, 08/04/16,Todo dentro de los terminos,https://www.mercadolibre.com.co/perfil/ADES_COL,https://perfil.mercadolibre.com.co/CELLUSTARS+SOLUCIONES+MOVILES
Buena, 31/08/20,"",https://www.mercadolibre.com.co/perfil/ADFE3348416,https://perfil.mercadolibre.com.co/OUTLETMOTERO.COM.CO
Mala, 28/07/20,no lo recomiedo. es de mala fe. la olla tiene las idicaciones impresas en la parte superior a reves. para leerlas hay q voltear la olla. no aceptó.,https://www.mercadolibre.com.co/perfil/ADIELASANCHEZ2007,https://perfil.mercadolibre.com.co/MAJOTIENDA+OFICIAL
